단계,일정,시작시간,종료시간,내용,담당자,장소,비고
사전준비,2026-01-06,,,"참가 의향 조사 시작",운영팀,온라인,Google Forms
사전준비,2026-01-10,,,"참가 의향 조사 마감",운영팀,온라인,
사전준비,2026-01-13,,,"참가 신청 시작",운영팀,온라인,
사전준비,2026-01-15,,,"팀 구성 가이드 배포",운영팀,Slack,
사전준비,2026-01-17,,,"참가 신청 마감",운영팀,온라인,16명 신청
사전준비,2026-01-18,,,"아이디어 제안서 제출 마감",운영팀,Notion,4팀 제출
1차심사,2026-01-20,14:00,16:00,"1차 서류 심사",심사위원단,회의실A,
1차심사,2026-01-21,,,"1차 심사 결과 발표",운영팀,Slack,전팀 통과
개발기간,2026-01-22,,,"개발 시작",참가팀,각자,
개발기간,2026-01-24,15:00,16:00,"중간 점검 (선택)",운영팀,온라인,진행상황 공유
2차심사,2026-01-27,14:00,17:00,"2차 중간발표 심사",심사위원단,대회의실,팀당 15분
2차심사,2026-01-28,,,"2차 심사 결과 및 피드백",운영팀,Slack,
개발기간,2026-01-29,,,"개발 집중 기간",참가팀,각자,
개발기간,2026-01-31,15:00,16:00,"최종 점검 및 리허설",운영팀,대회의실,발표 순서 확정
본행사,2026-02-03,09:00,09:30,"등록 및 오프닝",운영팀,대회의실,
본행사,2026-02-03,09:30,12:00,"최종 개발 및 준비",참가팀,대회의실,
본행사,2026-02-03,12:00,13:00,"점심 식사",전체,구내식당,
본행사,2026-02-03,13:00,15:00,"최종 발표 (팀당 20분)",참가팀,대회의실,발표15분+QA5분
본행사,2026-02-03,15:00,15:30,"심사 및 휴식",심사위원단,회의실A,
본행사,2026-02-03,15:30,16:30,"시상식 및 클로징",전체,대회의실,
본행사,2026-02-03,16:30,18:00,"네트워킹 및 저녁 식사",전체,대회의실,
사후,2026-02-05,,,"결과 보고서 작성",운영팀,,
사후,2026-02-07,,,"우수 프로젝트 후속 검토",경영진,,실제 도입 검토
